epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,150.38,0.6288,0.33503,0.83792,0.94832,0.7439,0.83535,0.64649,0.92865,0.83588,0.92002,0.0011684,0.0011684,0.0011684
44,153.893,0.61545,0.33696,0.84019,0.92715,0.78659,0.8363,0.66182,0.86837,0.77562,0.90851,0.0011486,0.0011486,0.0011486
45,157.224,0.62161,0.33116,0.8431,0.90779,0.78035,0.83852,0.6691,0.86078,0.74112,0.90004,0.0011288,0.0011288,0.0011288
46,160.648,0.61285,0.31866,0.82948,0.91203,0.80488,0.86063,0.66747,0.90477,0.69417,0.90719,0.001109,0.001109,0.001109
47,164.071,0.63895,0.33216,0.83217,0.8859,0.80485,0.86087,0.67173,0.92144,0.64647,0.90769,0.0010892,0.0010892,0.0010892
48,167.593,0.61422,0.34033,0.8368,0.92907,0.79871,0.86779,0.66953,0.8961,0.61646,0.90336,0.0010694,0.0010694,0.0010694
49,171.361,0.65437,0.34602,0.83404,0.89579,0.79878,0.86953,0.65288,0.97257,0.63517,0.92101,0.0010496,0.0010496,0.0010496
50,174.807,0.63402,0.33333,0.82799,0.92119,0.784,0.86847,0.65843,0.94814,0.64343,0.92353,0.0010298,0.0010298,0.0010298
51,178.14,0.62567,0.3323,0.83607,0.94131,0.78236,0.86065,0.66296,0.89633,0.63716,0.91462,0.00101,0.00101,0.00101
52,182.184,0.64649,0.34903,0.82015,0.92918,0.78049,0.85403,0.66302,0.9066,0.67275,0.92376,0.0009902,0.0009902,0.0009902
53,185.701,0.60759,0.3401,0.83701,0.94716,0.7439,0.83777,0.64508,0.95668,0.69708,0.93634,0.0009704,0.0009704,0.0009704
54,188.752,0.59929,0.33158,0.82788,0.92596,0.76254,0.83049,0.64671,0.95024,0.68165,0.93415,0.0009506,0.0009506,0.0009506
55,192.151,0.61316,0.33632,0.81161,0.94342,0.77439,0.84194,0.6576,0.90784,0.66987,0.92714,0.0009308,0.0009308,0.0009308
56,195.653,0.60008,0.32522,0.81664,0.9412,0.78088,0.84069,0.65199,0.89354,0.6607,0.92911,0.000911,0.000911,0.000911
57,198.804,0.57358,0.31232,0.82459,0.95546,0.78474,0.84431,0.65612,0.92305,0.6733,0.94038,0.0008912,0.0008912,0.0008912
58,201.814,0.56671,0.30488,0.82289,0.95984,0.78049,0.84633,0.64857,0.9209,0.66198,0.93641,0.0008714,0.0008714,0.0008714
59,204.86,0.55677,0.30849,0.84352,0.94845,0.79268,0.84458,0.64875,0.92535,0.65326,0.93097,0.0008516,0.0008516,0.0008516
