epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,93.535,0.65291,0.41365,0.85136,0.28306,0.63379,0.22077,0.16782,0.96273,3.72375,0.9968,0.000986206,0.000986206,0.000986206
43,95.609,0.6362,0.37479,0.88456,0.28306,0.63379,0.22077,0.16782,0.96273,3.72375,0.9968,0.00099314,0.00099314,0.00099314
44,97.9571,0.65668,0.39687,0.84344,0.59103,0.81579,0.56001,0.41536,0.93037,1.30796,0.97122,0.000999282,0.000999282,0.000999282
45,100.404,0.59722,0.35481,0.85617,0.59103,0.81579,0.56001,0.41536,0.93037,1.30796,0.97122,0.00100463,0.00100463,0.00100463
46,102.598,0.59815,0.35515,0.86903,0.79317,0.9083,0.80874,0.59905,0.991,0.73547,1.00269,0.00100919,0.00100919,0.00100919
47,104.474,0.73717,0.39346,0.85841,0.79317,0.9083,0.80874,0.59905,0.991,0.73547,1.00269,0.00101296,0.00101296,0.00101296
48,106.567,0.69332,0.36852,0.8422,0.85047,0.94797,0.91895,0.68403,0.93486,0.63187,0.98334,0.00101593,0.00101593,0.00101593
49,108.456,0.63716,0.40395,0.87283,0.85047,0.94797,0.91895,0.68403,0.93486,0.63187,0.98334,0.00101811,0.00101811,0.00101811
50,110.461,0.6376,0.36602,0.85176,0.89278,0.97368,0.95581,0.73842,0.85718,0.52098,0.94134,0.0010195,0.0010195,0.0010195
51,112.711,0.79455,0.41151,0.84279,0.89278,0.97368,0.95581,0.73842,0.85718,0.52098,0.94134,0.00101,0.00101,0.00101
52,114.861,0.73511,0.37798,0.87642,0.88333,0.92105,0.95578,0.73887,0.86581,0.53129,0.9494,0.0009902,0.0009902,0.0009902
53,116.935,0.66781,0.37777,0.8617,0.88333,0.92105,0.95578,0.73887,0.86581,0.53129,0.9494,0.0009704,0.0009704,0.0009704
54,119.065,0.70847,0.37274,0.901,0.91811,0.88511,0.95165,0.73006,0.90665,0.58454,0.98587,0.0009506,0.0009506,0.0009506
